,Id,PID,MS SubClass,Lot Frontage,Lot Area,Neighborhood,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice,Lot Frontage_nans,Mas Vnr Area_nans,BsmtFin SF 1_nans,BsmtFin SF 2_nans,Bsmt Unf SF_nans,Total Bsmt SF_nans,Bsmt Full Bath_nans,Bsmt Half Bath_nans,Garage Yr Blt_nans,Garage Cars_nans,Garage Area_nans,basement_livable,Functional_Num,ExterCond_Num,ExterQual_Num,KitchenQual_Num,neigh_score,MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,MS Zoning_Rare_var,Street_Rare_var,Alley_Missing,Alley_Pave,Lot Shape_IR2,Lot Shape_Rare_var,Lot Shape_Reg,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Utilities_Rare_var,Lot Config_CulDSac,Lot Config_FR2,Lot Config_Inside,Lot Config_Rare_var,Land Slope_Mod,Land Slope_Rare_var,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_Rare_var,Condition 2_Rare_var,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1Story,House Style_2.5Unf,House Style_2Story,House Style_Rare_var,House Style_SFoyer,House Style_SLvl,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Rare_var,Roof Matl_Rare_var,Exterior 1st_BrkFace,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_Rare_var,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_BrkFace,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_MetalSd,Exterior 2nd_Plywood,Exterior 2nd_Rare_var,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Mas Vnr Type_BrkFace,Mas Vnr Type_Missing,Mas Vnr Type_None,Mas Vnr Type_Rare_var,Mas Vnr Type_Stone,Exter Qual_Fa,Exter Qual_Gd,Exter Qual_TA,Exter Cond_Gd,Exter Cond_Rare_var,Exter Cond_TA,Foundation_CBlock,Foundation_PConc,Foundation_Rare_var,Foundation_Slab,Bsmt Qual_Fa,Bsmt Qual_Gd,Bsmt Qual_Missing,Bsmt Qual_Rare_var,Bsmt Qual_TA,Bsmt Cond_Gd,Bsmt Cond_Missing,Bsmt Cond_Rare_var,Bsmt Cond_TA,Bsmt Exposure_Gd,Bsmt Exposure_Missing,Bsmt Exposure_Mn,Bsmt Exposure_No,BsmtFin Type 1_BLQ,BsmtFin Type 1_GLQ,BsmtFin Type 1_LwQ,BsmtFin Type 1_Missing,BsmtFin Type 1_Rec,BsmtFin Type 1_Unf,BsmtFin Type 2_BLQ,BsmtFin Type 2_GLQ,BsmtFin Type 2_LwQ,BsmtFin Type 2_Missing,BsmtFin Type 2_Rec,BsmtFin Type 2_Unf,Heating_Rare_var,Heating QC_Fa,Heating QC_Gd,Heating QC_Rare_var,Heating QC_TA,Central Air_Y,Electrical_FuseF,Electrical_Rare_var,Electrical_SBrkr,Kitchen Qual_Fa,Kitchen Qual_Gd,Kitchen Qual_Rare_var,Kitchen Qual_TA,Functional_Min2,Functional_Mod,Functional_Rare_var,Functional_Typ,Fireplace Qu_Fa,Fireplace Qu_Gd,Fireplace Qu_Missing,Fireplace Qu_Po,Fireplace Qu_TA,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_Detchd,Garage Type_Missing,Garage Type_Rare_var,Garage Finish_Missing,Garage Finish_RFn,Garage Finish_Unf,Garage Qual_Missing,Garage Qual_Rare_var,Garage Qual_TA,Garage Cond_Missing,Garage Cond_Rare_var,Garage Cond_TA,Paved Drive_P,Paved Drive_Y,Pool QC_Rare_var,Fence_GdWo,Fence_Missing,Fence_MnPrv,Fence_Rare_var,Misc Feature_Rare_var,Misc Feature_Shed,Sale Type_ConLD,Sale Type_New,Sale Type_Rare_var,Sale Type_WD 
0,109,533352170,60,4.219507705176107,9.511703431483827,1,6,8,5.830951894845301,2.23606797749979,289.0,533.0,0.0,13.856406460551018,26.92582403567252,6.586171654854675,754,0,7.2991214627108,0.0,0.0,2,1,3,1,6,0,5.830951894845301,2.0,21.79449471770337,0,44,0,0,0,0,0,3,2010,11.779128505744886,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,533.0,8.0,3.0,4.0,4.0,5.594127555541224,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
1,544,531379050,60,3.7612001156935615,9.34940642009918,1,7,5,3.605551275463989,3.4641016151377544,132.0,637.0,0.0,16.61324772583615,30.215889859476256,6.816735880594968,1209,0,7.660114319173928,1.0,0.0,2,1,4,1,8,1,3.4641016151377544,2.0,23.643180835073775,0,74,0,0,0,0,0,4,2009,12.301382825334498,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,637.0,8.0,3.0,4.0,4.0,5.218378017157072,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
2,153,535304180,20,4.219507705176107,8.977398978181862,2,5,7,7.54983443527075,1.7320508075688772,0.0,731.0,0.0,18.05547008526779,32.51153641401772,6.963189985870238,0,0,6.963189985870238,1.0,0.0,1,0,3,1,5,0,7.54983443527075,1.0,15.684387141358124,0,52,0,0,0,0,0,1,2010,11.59910316121128,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,731.0,8.0,4.0,3.0,4.0,5.282649347820332,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3,318,916386060,60,4.290459441148391,9.190341725469493,4,5,5,2.0,1.7320508075688772,0.0,0.0,0.0,19.595917942265423,19.595917942265423,6.612041034833092,700,0,7.275172319452771,0.0,0.0,2,1,3,1,7,0,1.7320508075688772,2.0,20.0,100,0,0,0,0,0,0,4,2010,12.066810578196666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,3.0,3.0,3.0,4.597573229534604,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
4,255,906425045,50,4.406719247264253,9.563458999712138,1,6,8,10.488088481701515,4.123105625617661,0.0,0.0,0.0,26.0,26.0,6.7226297948554485,614,0,7.275864600546533,0.0,0.0,2,0,3,1,6,0,7.280109889280518,2.0,22.0,0,59,0,0,0,0,0,3,2010,11.83862560460953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,3.0,3.0,3.0,5.300540381192528,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
5,138,535126040,20,4.919980925828125,9.71063069382679,2,6,6,6.6332495807108,2.8284271247461903,0.0,247.0,713.0,23.600847442411894,38.948684188300895,7.543273346705446,0,0,7.543273346705446,0.0,0.0,2,1,2,1,6,1,6.6332495807108,2.0,24.04163056034261,0,0,0,0,0,0,0,6,2010,12.154779351142624,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,960.0,5.0,3.0,4.0,4.0,4.850808287981982,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
6,2827,908186070,180,3.555348061489413,8.209308411646937,1,6,5,1.0,0.0,82.0,547.0,0.0,0.0,23.388031127053,6.977281341630747,0,0,6.977281341630747,1.0,0.0,2,0,2,1,5,0,1.0,2.0,22.9128784747792,0,44,0,0,0,0,0,6,2006,11.84939770159144,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,547.0,8.0,3.0,3.0,3.0,4.761182036171489,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
7,145,535154050,20,4.219507705176107,9.405907155520158,2,5,5,7.14142842854285,7.14142842854285,180.0,1000.0,0.0,13.711309200802088,34.46737587922817,7.080026499922591,0,0,7.080026499922591,1.0,0.0,1,0,3,1,6,0,7.14142842854285,2.0,23.043437243605823,0,0,0,0,0,0,0,5,2010,11.8635823365834,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1000.0,8.0,3.0,3.0,3.0,4.597573229534604,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
8,1942,535353130,20,4.219507705176107,9.666688690398916,2,5,5,7.416198487095663,7.416198487095663,0.0,292.0,0.0,25.13961017995307,30.397368307141328,6.828712071641684,0,0,6.828712071641684,0.0,0.0,1,0,2,1,6,0,7.416198487095663,1.0,20.4939015319192,0,324,0,0,0,0,400,6,2007,11.630708500626612,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,292.0,8.0,3.0,3.0,3.0,4.597573229534604,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
9,1956,535426130,60,4.248495242049359,9.359277484750551,2,5,5,6.164414002968976,6.164414002968976,192.0,650.0,0.0,19.748417658131498,32.2490309931942,6.946975992135418,1040,0,7.640123172695364,0.0,1.0,1,2,5,1,9,2,6.164414002968976,2.0,22.44994432064365,335,0,0,0,0,0,0,9,2007,11.813030057420567,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,650.0,8.0,3.0,3.0,2.0,4.597573229534604,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
