Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Lot Frontage_nans,Mas Vnr Area_nans,BsmtFin SF 1_nans,BsmtFin SF 2_nans,Bsmt Unf SF_nans,Total Bsmt SF_nans,Bsmt Full Bath_nans,Bsmt Half Bath_nans,Garage Yr Blt_nans,Garage Cars_nans,Garage Area_nans
109,533352170,60,RL,4.219507705176107,9.511703431483827,Pave,Missing,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,34,5,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,Ex,Y,SBrkr,6.586171654854675,754,0,7.2991214627108,0.0,0.0,2,1,3,1,Gd,6,Typ,0,Missing,Attchd,34.0,RFn,2.0,475.0,TA,TA,Y,0,44,0,0,0,0,Missing,Missing,Missing,0,3,2010,WD ,11.779128505744886,1,0,0,0,0,0,0,0,0,0,0
544,531379050,60,RL,3.7612001156935624,9.34940642009918,Pave,Missing,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,13,12,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,6.816735880594968,1209,0,7.660114319173928,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,12.0,RFn,2.0,559.0,TA,TA,Y,0,74,0,0,0,0,Missing,Missing,Missing,0,4,2009,WD ,12.301382825334498,0,0,0,0,0,0,0,0,0,0,0
153,535304180,20,RL,4.219507705176107,8.977398978181862,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,57,3,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,6.963189985870238,0,0,6.963189985870238,1.0,0.0,1,0,3,1,Gd,5,Typ,0,Missing,Detchd,57.0,Unf,1.0,246.0,TA,TA,Y,0,52,0,0,0,0,Missing,Missing,Missing,0,1,2010,WD ,11.59910316121128,0,0,0,0,0,0,0,0,0,0,0
318,916386060,60,RL,4.290459441148391,9.190341725469493,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,4,3,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,6.612041034833092,700,0,7.275172319452771,0.0,0.0,2,1,3,1,TA,7,Typ,0,Missing,BuiltIn,3.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,Missing,Missing,Missing,0,4,2010,WD ,12.066810578196666,0,0,0,0,0,0,0,0,0,0,0
255,906425045,50,RL,4.406719247264253,9.563458999712138,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,110,17,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,6.7226297948554485,614,0,7.275864600546533,0.0,0.0,2,0,3,1,TA,6,Typ,0,Missing,Detchd,53.0,Unf,2.0,484.0,TA,TA,N,0,59,0,0,0,0,Missing,Missing,Missing,0,3,2010,WD ,11.83862560460953,0,0,0,0,0,0,0,0,0,0,0
138,535126040,20,RL,4.919980925828125,9.71063069382679,Pave,Missing,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Rare_var,Norm,1Fam,1Story,6,6,44,8,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,7.543273346705446,0,0,7.543273346705446,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,44.0,Fin,2.0,578.0,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Missing,0,6,2010,WD ,12.154779351142624,0,0,0,0,0,0,0,0,0,0,0
2827,908186070,180,RM,3.5553480614894135,8.209308411646937,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,1,0,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,6.977281341630747,0,0,6.977281341630747,1.0,0.0,2,0,2,1,TA,5,Typ,0,Missing,Basment,1.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,Missing,Missing,Missing,0,6,2006,New,11.84939770159144,0,0,0,0,0,0,0,0,0,0,0
145,535154050,20,RL,4.219507705176107,9.405907155520158,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,51,51,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,7.080026499922591,0,0,7.080026499922591,1.0,0.0,1,0,3,1,TA,6,Typ,0,Missing,Attchd,51.0,RFn,2.0,531.0,TA,TA,Y,0,0,0,0,0,0,Missing,MnPrv,Missing,0,5,2010,COD,11.863582336583399,1,0,0,0,0,0,0,0,0,0,0
1942,535353130,20,RL,4.219507705176107,9.666688690398917,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,55,55,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,TA,Y,SBrkr,6.828712071641684,0,0,6.828712071641684,0.0,0.0,1,0,2,1,TA,6,Typ,0,Missing,Detchd,55.0,Unf,1.0,420.0,TA,TA,Y,0,324,0,0,0,0,Missing,MnPrv,Shed,400,6,2007,WD ,11.630708500626612,1,0,0,0,0,0,0,0,0,0,0
1956,535426130,60,RL,4.248495242049359,9.359277484750553,Pave,Missing,IR1,HLS,AllPub,Inside,Rare_var,NAmes,Norm,Norm,1Fam,2Story,5,5,38,38,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,6.946975992135418,1040,0,7.640123172695364,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,38.0,Unf,2.0,504.0,TA,TA,Y,335,0,0,0,0,0,Missing,Missing,Missing,0,9,2007,WD ,11.813030057420567,0,0,0,0,0,0,0,0,0,0,0
