Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Lot Frontage_nans,Mas Vnr Area_nans,BsmtFin SF 1_nans,BsmtFin SF 2_nans,Bsmt Unf SF_nans,Total Bsmt SF_nans,Bsmt Full Bath_nans,Bsmt Half Bath_nans,Garage Yr Blt_nans,Garage Cars_nans,Garage Area_nans,basement_livable,Total_sf,Functional_Num,ExterCond_Num,ExterQual_Num,KitchenQual_Num,neigh_score
109,533352170,60,RL,4.219507705176107,9.511703431483827,Pave,Missing,IR1,Lvl,AllPub,CulDSac,Gtl,1,RRAe,Norm,1Fam,2Story,6,8,5.830951894845301,2.23606797749979,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,13.856406460551018,26.92582403567252,GasA,Ex,Y,SBrkr,6.586171654854675,754,0,7.2991214627108,0.0,0.0,2,1,3,1,Gd,6,Typ,0,Missing,Attchd,5.830951894845301,RFn,2.0,21.79449471770337,TA,TA,Y,0,44,0,0,0,0,Missing,Missing,Missing,0,3,2010,WD ,11.779128505744886,1,0,0,0,0,0,0,0,0,0,0,533.0,1485.5861716548548,8,3,4,4,5.595133078060939
544,531379050,60,RL,3.7612001156935615,9.34940642009918,Pave,Missing,IR1,Lvl,AllPub,CulDSac,Gtl,1,Norm,Norm,1Fam,2Story,7,5,3.605551275463989,3.4641016151377544,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,16.61324772583615,30.215889859476256,GasA,Ex,Y,SBrkr,6.816735880594968,1209,0,7.660114319173928,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,3.4641016151377544,RFn,2.0,23.643180835073778,TA,TA,Y,0,74,0,0,0,0,Missing,Missing,Missing,0,4,2009,WD ,12.301382825334498,0,0,0,0,0,0,0,0,0,0,0,637.0,2128.816735880595,8,3,4,4,5.21953838743129
153,535304180,20,RL,4.219507705176107,8.977398978181862,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,2,Norm,Norm,1Fam,1Story,5,7,7.54983443527075,1.7320508075688772,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,18.05547008526779,32.51153641401772,GasA,TA,Y,SBrkr,6.963189985870238,0,0,6.963189985870238,1.0,0.0,1,0,3,1,Gd,5,Typ,0,Missing,Detchd,7.54983443527075,Unf,1.0,15.684387141358123,TA,TA,Y,0,52,0,0,0,0,Missing,Missing,Missing,0,1,2010,WD ,11.59910316121128,0,0,0,0,0,0,0,0,0,0,0,731.0,1063.9631899858703,8,4,3,4,5.2834293424796
318,916386060,60,RL,4.290459441148391,9.190341725469493,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,4,Norm,Norm,1Fam,2Story,5,5,2.0,1.7320508075688772,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,19.595917942265423,19.595917942265423,GasA,Gd,Y,SBrkr,6.612041034833092,700,0,7.275172319452771,0.0,0.0,2,1,3,1,TA,7,Typ,0,Missing,BuiltIn,1.7320508075688772,Fin,2.0,20.0,TA,TA,Y,100,0,0,0,0,0,Missing,Missing,Missing,0,4,2010,WD ,12.066810578196666,0,0,0,0,0,0,0,0,0,0,0,0.0,1090.612041034833,8,3,3,3,4.598396155909655
255,906425045,50,RL,4.406719247264253,9.563458999712138,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,1,Norm,Norm,1Fam,1.5Fin,6,8,10.488088481701515,4.123105625617661,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,26.0,26.0,GasA,TA,Y,SBrkr,6.7226297948554485,614,0,7.275864600546533,0.0,0.0,2,0,3,1,TA,6,Typ,0,Missing,Detchd,7.280109889280518,Unf,2.0,22.0,TA,TA,N,0,59,0,0,0,0,Missing,Missing,Missing,0,3,2010,WD ,11.83862560460953,0,0,0,0,0,0,0,0,0,0,0,0.0,1296.7226297948555,8,3,3,3,5.30141174778571
138,535126040,20,RL,4.919980925828125,9.71063069382679,Pave,Missing,IR1,Lvl,AllPub,Corner,Gtl,2,Rare_var,Norm,1Fam,1Story,6,6,6.6332495807108,2.8284271247461903,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,23.600847442411894,38.948684188300895,GasA,Ex,Y,SBrkr,7.543273346705446,0,0,7.543273346705446,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,6.6332495807108,Fin,2.0,24.041630560342615,TA,TA,Y,0,0,0,0,0,0,Missing,Missing,Missing,0,6,2010,WD ,12.154779351142624,0,0,0,0,0,0,0,0,0,0,0,960.0,1524.5432733467055,5,3,4,4,4.851840542472301
2827,908186070,180,RM,3.555348061489413,8.209308411646937,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,1,Norm,Norm,TwnhsE,SFoyer,6,5,1.0,0.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,23.388031127053,GasA,Gd,Y,SBrkr,6.977281341630747,0,0,6.977281341630747,1.0,0.0,2,0,2,1,TA,5,Typ,0,Missing,Basment,1.0,Fin,2.0,22.9128784747792,TA,TA,Y,0,44,0,0,0,0,Missing,Missing,Missing,0,6,2006,New,11.84939770159144,0,0,0,0,0,0,0,0,0,0,0,547.0,553.9772813416307,8,3,3,3,4.762106606532858
145,535154050,20,RL,4.219507705176107,9.405907155520158,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,2,Norm,Norm,1Fam,1Story,5,5,7.14142842854285,7.14142842854285,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,13.711309200802088,34.46737587922817,GasA,Fa,Y,SBrkr,7.080026499922591,0,0,7.080026499922591,1.0,0.0,1,0,3,1,TA,6,Typ,0,Missing,Attchd,7.14142842854285,RFn,2.0,23.043437243605826,TA,TA,Y,0,0,0,0,0,0,Missing,MnPrv,Missing,0,5,2010,COD,11.8635823365834,1,0,0,0,0,0,0,0,0,0,0,1000.0,1195.0800264999225,8,3,3,3,4.598396155909655
1942,535353130,20,RL,4.219507705176107,9.666688690398916,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,2,Artery,Norm,1Fam,1Story,5,5,7.416198487095663,7.416198487095663,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,25.13961017995307,30.397368307141328,GasA,TA,Y,SBrkr,6.828712071641684,0,0,6.828712071641684,0.0,0.0,1,0,2,1,TA,6,Typ,0,Missing,Detchd,7.416198487095663,Unf,1.0,20.493901531919196,TA,TA,Y,0,324,0,0,0,0,Missing,MnPrv,Shed,400,6,2007,WD ,11.630708500626612,1,0,0,0,0,0,0,0,0,0,0,292.0,930.8287120716417,8,3,3,3,4.598396155909655
1956,535426130,60,RL,4.248495242049359,9.359277484750551,Pave,Missing,IR1,HLS,AllPub,Inside,Rare_var,2,Norm,Norm,1Fam,2Story,5,5,6.164414002968976,6.164414002968976,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,19.748417658131498,32.2490309931942,GasA,TA,Y,SBrkr,6.946975992135418,1040,0,7.640123172695364,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,6.164414002968976,Unf,2.0,22.44994432064365,TA,TA,Y,335,0,0,0,0,0,Missing,Missing,Missing,0,9,2007,WD ,11.813030057420567,0,0,0,0,0,0,0,0,0,0,0,650.0,2086.9469759921353,8,3,3,2,4.598396155909655
